"","xcoord","ycoord","pforce"
"260",1013910,238398,5
"261",1013068,238404,3
"262",1025819,238404,3
"263",1012519,238408,2
"264",1015458,238417,1
"265",1016836,238430,1
"266",1012223,238431,1
"267",1014247,238457,1
"268",1012785,238467,2
"269",1009185,238490,1
"270",1021357,238494,4
"271",1012792,238528,1
"272",1006928,238560,4
"273",1021308,238560,2
"274",1016185,238561,5
"275",1010447,238582,4
"276",1025282,238585,2
"277",1006866,238587,1
"278",1014233,238591,2
"279",1014621,238595,2
"280",1010361,238606,1
"281",1006750,238621,4
"282",1011706,238632,1
"283",1013067,238633,1
"284",1007726,238645,3
"285",1012562,238650,1
"286",1006663,238657,1
"287",1006640,238659,2
"288",1013073,238686,1
"289",1014615,238697,1
"290",1022145,238701,1
"291",1006528,238704,2
"292",1033797,238707,1
"293",1006494,238716,1
"294",1010961,238721,4
"295",1012653,238722,1
"296",1007197,238731,9
"297",1032210,238735,3
"298",1014605,238742,6
"299",1013903,238747,1
"300",1015129,238749,2
"301",1012225,238755,1
"302",1033946,238773,1
"303",1012791,238814,4
"304",1007244,238841,1
"305",1025658,238893,2
"306",1013901,238905,2
"307",1006451,238923,7
"308",1004478,238929,1
"309",1007280,238934,1
"310",1008390,239003,1
"311",1014209,239017,1
"312",1006566,239029,1
"313",1008753,239042,1
"314",1033560,239065,1
"315",1007341,239067,1
"316",1010896,239083,2
"317",1006650,239092,3
"318",1022071,239100,1
"319",1010796,239108,1
"320",1032801,239119,1
"321",1010687,239143,2
"322",1020849,239143,1
"323",1014199,239165,4
"324",1021003,239176,1
"325",1014378,239180,2
"326",1004319,239189,1
"327",1006999,239205,7
"328",1014837,239207,1
"329",1011115,239221,1
"330",1021341,239232,1
"331",1015356,239242,1
"332",1012117,239245,4
"333",1010340,239255,1
"334",1021492,239265,1
"335",1021726,239300,2
"336",1011916,239310,1
"337",1013539,239322,1
"338",1021828,239324,1
"339",1012239,239328,1
"340",1004379,239331,1
"341",1010059,239344,2
"342",1012798,239356,1
"343",1022027,239356,1
"344",1012796,239444,2
"345",1004447,239483,1
"346",1007121,239502,4
"347",1014172,239513,1
"348",1009529,239548,2
"349",1013879,239551,2
"350",1007185,239556,3
"351",1023332,239590,1
"352",1014552,239614,2
"353",1014021,239643,1
"354",1014169,239654,3
"355",1012522,239685,2
"356",1013876,239696,2
"357",1008996,239726,1
"358",1014187,239755,1
"359",1014200,239764,1
"360",1014204,239767,1
"361",1033097,239777,2
"362",1018204,239783,1
"363",1011096,239796,1
"364",1011097,239802,3
"365",1020085,239815,1
"366",1020273,239846,1
"367",1014158,239874,1
"368",1010832,239885,7
"369",1020237,239886,1
"370",1020514,239891,1
"371",1004896,239898,1
"372",1020623,239909,1
"373",1020864,239948,2
"374",1009653,239975,1
"375",1014510,239978,1
"376",1014578,240021,1
"377",1035485,240048,1
"378",1025894,240049,2
"379",1021446,240060,1
"380",1020085,240085,3
"381",1010606,240098,1
"382",1014703,240114,2
"383",1021879,240139,1
"384",1015293,240212,2
"385",1015427,240217,1
"386",1005057,240220,1
"387",1015444,240224,1
"388",1017854,240245,1
"389",1014912,240247,2
"390",1004793,240258,2
"391",1009747,240269,1
"392",1018110,240290,1
"393",1006244,240307,1
"394",1011469,240320,1
"395",1011361,240351,4
"396",1007829,240358,1
"397",1016770,240372,1
"398",1011208,240399,2
"399",1010687,240400,1
"400",1009784,240404,2
"401",1018761,240410,1
"402",1011163,240416,1
"403",1012042,240416,1
"404",1020778,240430,1
"405",1005844,240453,4
"406",1015281,240459,2
"407",1017284,240464,1
"408",1019150,240476,2
"409",1015275,240502,1
"410",1014164,240519,1
"411",1013319,240531,1
