type,PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
misdemeanor_offenses,18,TOTAL MISDEMEANOR OFFENSES,7231,6927,5950,4912,4794,4396,4587,4637,4585,4872,5117,5009,4987,5005,5163,4891
misdemeanor_offenses,19,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,17,10,23,39,67,61,62,67,20,17,14,52,60,25,23,20
misdemeanor_offenses,19,MISDEMEANOR SEX CRIMES (4),77,67,50,51,44,50,56,51,64,57,54,79,56,37,79,64
misdemeanor_offenses,19,MISDEMEANOR DANGEROUS DRUGS  (1),153,73,60,58,78,80,101,105,125,85,75,117,135,105,50,31
misdemeanor_offenses,19,MISDEMEANOR DANGEROUS WEAPONS (5)               ,12,21,14,9,15,21,19,32,22,22,23,28,12,23,12,16
misdemeanor_offenses,19,PETIT LARCENY                         ,2117,2383,1969,1910,2119,1964,1975,1895,1715,1571,1683,1569,1669,1637,1566,1586
misdemeanor_offenses,19,ASSAULT 3 AND RELATED OFFENSES        ,542,532,395,361,425,418,418,366,338,328,377,331,379,321,355,295
misdemeanor_offenses,19,INTOXICATED & IMPAIRED DRIVING              ,52,37,58,78,94,86,94,237,272,96,72,109,156,177,196,107
misdemeanor_offenses,19,VEHICLE AND TRAFFIC LAWS              ,150,128,104,70,74,71,77,75,91,69,64,83,66,100,67,59
misdemeanor_offenses,19,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,557,666,435,372,430,359,387,462,414,387,381,381,332,266,318,348
misdemeanor_offenses,19,CRIMINAL TRESPASS,66,54,48,67,80,71,63,50,60,53,71,85,81,41,71,46
misdemeanor_offenses,19,UNAUTHORIZED USE OF A VEHICLE           ,15,12,21,12,9,6,13,10,10,7,3,9,14,6,6,6
misdemeanor_offenses,19,OFFENSES AGAINST THE PERSON (7)      ,18,13,10,8,4,7,17,19,11,7,7,15,7,7,15,8
misdemeanor_offenses,19,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),81,61,73,70,59,99,110,100,84,63,53,74,77,68,53,63
misdemeanor_offenses,19,ADMINISTRATIVE CODE (6)            ,11,9,7,8,7,11,11,3,6,5,4,4,4,1,1,6
misdemeanor_offenses,19,FRAUDS (3)                    ,305,407,179,272,132,133,106,89,134,115,121,121,118,108,84,59
misdemeanor_offenses,19,AGGRAVATED HARASSMENT 2               ,782,836,743,663,559,572,563,472,380,363,371,345,330,329,210,182
misdemeanor_offenses,19,OTHER MISDEMEANORS (8),357,440,190,252,256,246,222,192,125,191,244,269,325,276,214,356
misdemeanor_offenses,19,TOTAL MISDEMEANOR OFFENSES,5312,5749,4379,4300,4452,4255,4294,4225,3871,3436,3617,3671,3821,3527,3320,3252
